,Timestamp,Side,Base Currency Vol.,Quote Currency Vol.,Vol. (USD),Liquidity in Pool,PoolID
56,2021-06-18 02:50:53,Buy,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x040694d3e4107fd35903b292cfdc99b317744655966c0077d919af75f3a45304-0
57,2021-06-18 02:45:57,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x9aa75a96c0ba101a1e4b10358d2178c8db23796e75b0e59526e6925e0278b002-2
58,2021-06-18 02:22:39,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xc0aff45edb4f2623e05076063f7427c9395ffe634af7d9e073b0150fd05db611-0
59,2021-06-18 02:22:39,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x9d1e800689fdf24409aac27d69edbea520e1cea3433b7fa3adfed5252465cdd2-0
60,2021-06-18 02:22:27,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x19d1c0552357146f6e905c0c6e3854847b75b5616d73e4b70a32531254849892-0
61,2021-06-18 02:21:53,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xc1dee514958d8ac7b1e997b9497f5389565775780feac64b789a4f91858a6453-0
62,2021-06-18 02:21:29,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xae9c3fa97fdf20f21482a2f521ee3cdffcae6f6e09fb9a496c141f5393dda79f-0
63,2021-06-18 02:20:28,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xe9a134a2c3fbae615edf1023437bb8d8c300a874c9f947790c1b86c264bc9614-0
64,2021-06-18 02:20:07,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x9157e910d9924d7e4cf8177a7e9d6625828bb90af81d254f0d6b34a400c46816-0
65,2021-06-18 02:20:07,Buy,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x3daa427ee9b57423770eca4bc08b2bd0b928e747d64e563749eac9df1adbc8a4-0
66,2021-06-18 02:12:42,Buy,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xf3fa0fb292c3a22c4243a5594f3ff5444a98d8af8f7d98546fb89e8d8785c1c2-1
67,2021-06-18 02:10:32,Buy,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x8dae10ef80b55f17cddfe1acd7a15d6a978b85785d88ebae80cfeafe8639d925-1
68,2021-06-18 02:08:33,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x3d1badc39789ff2d28907549e0b84b7d17a1e94b168bd5e641aa8901d7d312e6-0
69,2021-06-18 02:04:13,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x95cd1f5b75608d2c0e28ab52fd555841fa5f26d446e77c28fc425ac0dda07020-0
70,2021-06-18 02:04:13,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x64cb1e045a5536874e8ee4edad3288baa2b9be2307203b4447d0ed8e40df36b7-0
71,2021-06-18 02:04:13,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x3dce4ef9e8e2a49f4570c5064080391791d34799e5ee79a8d7c1a98268f5de58-0
72,2021-06-18 02:03:40,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xa91b0cbeb514c05b3d0705d95ba5126ab2c5ec043b3367d21b29e79bf25640d2-0
73,2021-06-18 02:03:40,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x8f708c0f1b03778eb0d25f71942a656ef3a12b6d5f34590303fc73d73010d991-0
74,2021-06-18 01:53:06,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xebcb3f16ae28c8d8f05902b8822d6055ab1746ffad8299ead9889fa9f9cc7d84-0
75,2021-06-18 01:49:57,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xc51c7174258554b1d68b34e351c46861cf13fbe757cec93ade177dc9541a998b-0
76,2021-06-18 01:49:31,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xb69c8cffeadd773ebc763c0f742474a42cc14091e6e9e443c0c7fa31f38bdcd1-0
77,2021-06-18 01:48:25,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xbd169a2babde574f2295f4bd4d05b9f4369650ed2324be7e13e67b7567231aae-0
78,2021-06-18 01:44:11,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xe795ce93257d877fb5b6ecfe5b0027a65d1384dd1a4be47974d18c5c160ab2bb-0
79,2021-06-18 01:41:54,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xe8774aa6070f16a68038106f62a8b6da8e6210394e546c911ca28b09ab806a8d-2
80,2021-06-18 01:37:42,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xe6ab01448a1dc7ee6a11266079ff629d96f1bfff42249ab102d8f8e72967a81f-0
81,2021-06-18 01:36:14,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x6dd40294c976d6a3b83dc6ce8ca96f56eeb2e1edf8e92d1e687431f730470aaf-0
82,2021-06-18 01:32:46,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x4e23e67e3fbb185735377aa886acc52d8f167810aa5056e7e6b732c9bd23efa7-0
83,2021-06-18 01:31:57,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xdd180b8d65cefa761d2d9d120e3944b34ff47d8b7b1b158f309a3f8c1ed096ed-0
84,2021-06-18 01:26:21,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x57958a15ad087092c0dd9a31a7635c077c1ebb031556296d986db6494beaf0a0-0
85,2021-06-18 01:20:45,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x19d14418f665e0be374a921578b110e6cce84e3d279e53de2a202431135e406f-0
86,2021-06-18 01:18:33,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xf913de55f12f1a5bac481b84fcdeecfd77abbcc9ba1961ca7fddccc7cef31b12-0
87,2021-06-18 01:18:33,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xbb458abd4131d048865bbf8d7f8794762ddace6b8fbe00dced3ed5900889e197-0
88,2021-06-18 01:16:39,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x35461a6e25dd818788efa74f7c9e20291bdb64f766b563047aec2f18fb713e7a-0
89,2021-06-18 01:15:33,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x9c2b07f5776c4c2778c52ca1aa683d5bd63e659167216a94363b665e4f13a3e8-0
90,2021-06-18 01:13:58,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x8c4b977934f04278626a1faeae6f1348497feef7bfa42d1570111c0f1d7628f1-0
91,2021-06-18 01:06:22,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x92033e48126aa576ff0dee1b57bc41fd52dc8003ad8e78a9794b45b3993288af-0
92,2021-06-18 00:50:16,Buy,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x613995e155c88c3b27a6a25561256412a0c4f0df6bdd8a0739039ff56d30bd92-0
93,2021-06-18 00:46:10,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x3ae1d7d79707c2112505021371cc0fad747c3d23aa28caf077659cb2ff67a5c6-2
94,2021-06-18 00:45:52,Buy,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x208aa0f56385e515ac4d6142301d92d579e5859f947d035e895705cc7caf33cf-0
95,2021-06-18 00:41:22,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xaee625eaf97de3335c56c860d44f1f808a857c0372793de10aeba4ff6013935d-0
96,2021-06-18 00:36:18,Buy,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x133867dc71aa82493a7a503d284bd264c02cf6a27e301b103e3f2d946edccdd4-0
97,2021-06-18 00:36:05,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xf2d1dd81a3e56f4e6b2d6401ed4a923b99b3f11d4ed7675160edddea33ddc2cd-0
98,2021-06-18 00:36:05,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x230efed22d9283f139f8f6c380af3e15fe1af301649422c106acdd5b839fa3f7-0
99,2021-06-18 00:34:35,Sell,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0x706ae1a04ec5ad62f02d87f66265029e8e1e751bbd2f4b8c8952603d704546fc-1
100,2021-06-18 00:33:04,Buy,764108940.9486024,243290876.7570066,6632907228.6574135,104814.11947313396,0xaf16890f502c36adffb1bc06e39524938c2a9c93ddb7639a4b4ce7e4fa23e919-0
